encuesta_id,empleado_id,burnout_exhaustion,burnout_cynicism,burnout_efficacy,burnout_global,boreout_disinterest,boreout_lack_challenge,boreout_underload,boreout_global,wellbeing_satisfaction,wellbeing_efficacy,wellbeing_global,rotation_global
ENC_00000,EMP_02077,4.83,2.39,3.453333333333333,3.5577777777777775,1.6333333333333335,3.0666666666666664,1.5266666666666666,2.0755555555555554,1.755,2.1033333333333335,1.9042857142857141,2.9800000000000004
ENC_00001,EMP_02416,3.4433333333333334,1.1666666666666667,1.89,2.1666666666666665,1.26,1.0,1.5133333333333334,1.2577777777777779,4.84,4.303333333333334,4.609999999999999,1.0
ENC_00002,EMP_02433,2.286666666666667,2.046666666666667,1.7233333333333334,2.018888888888889,2.0100000000000002,2.4099999999999997,2.626666666666667,2.348888888888889,3.6950000000000003,3.293333333333333,3.5228571428571427,1.1266666666666667
ENC_00003,EMP_01200,2.78,1.21,1.9633333333333336,1.9844444444444445,1.9633333333333332,1.1066666666666667,1.4833333333333334,1.517777777777778,3.9825000000000004,3.4633333333333334,3.7600000000000002,1.2666666666666666
ENC_00004,EMP_02174,1.7566666666666666,2.1066666666666665,2.11,1.9911111111111113,3.0500000000000003,2.686666666666667,3.123333333333333,2.953333333333333,2.025,2.7699999999999996,2.3442857142857143,2.66
ENC_00005,EMP_00553,2.9233333333333333,1.13,1.4933333333333334,1.848888888888889,1.8866666666666667,1.0,1.7966666666666666,1.5611111111111111,4.595,4.363333333333333,4.4957142857142856,1.0
ENC_00006,EMP_00498,4.07,1.0966666666666667,1.9866666666666666,2.3844444444444446,1.0,1.6066666666666667,1.0,1.2022222222222223,4.915,3.723333333333333,4.404285714285714,1.0
ENC_00007,EMP_01042,2.32,1.1700000000000002,1.6766666666666667,1.7222222222222225,2.3000000000000003,1.2166666666666668,2.2533333333333334,1.9233333333333336,3.4425,3.856666666666667,3.62,1.5
ENC_00008,EMP_01573,2.6766666666666663,1.78,2.3066666666666666,2.2544444444444443,2.18,2.353333333333333,2.34,2.2911111111111113,3.8525,3.2633333333333336,3.6000000000000005,1.3066666666666666
ENC_00009,EMP_00983,2.4166666666666665,2.05,2.0233333333333334,2.1633333333333336,2.793333333333333,1.9200000000000002,3.1,2.604444444444445,2.8075,2.903333333333333,2.8485714285714288,2.12
ENC_00010,EMP_02364,3.0,2.08,1.8066666666666666,2.2955555555555556,1.6466666666666665,2.22,2.1933333333333334,2.0199999999999996,3.5749999999999997,3.176666666666667,3.404285714285714,1.3566666666666667
ENC_00011,EMP_00735,1.763333333333333,2.26,2.0366666666666666,2.02,2.72,2.0666666666666664,2.7600000000000002,2.5155555555555558,2.7325,2.84,2.778571428571428,2.3699999999999997
ENC_00012,EMP_00591,4.91,2.523333333333333,3.42,3.617777777777778,1.343333333333333,2.6566666666666667,1.656666666666667,1.8855555555555554,2.6275,2.51,2.577142857142857,2.393333333333333
ENC_00013,EMP_01929,3.7433333333333336,1.0,1.8566666666666667,2.1999999999999997,1.3633333333333333,1.0,1.6833333333333333,1.3488888888888888,4.985,4.653333333333333,4.8428571428571425,1.0
ENC_00014,EMP_01897,3.11,1.5033333333333332,1.7666666666666666,2.126666666666667,1.4233333333333331,1.6666666666666667,1.8499999999999999,1.6466666666666667,4.1899999999999995,3.7100000000000004,3.9842857142857144,1.07
ENC_00015,EMP_00311,2.6233333333333335,1.7833333333333332,1.9966666666666668,2.1344444444444446,1.8,1.49,2.3133333333333335,1.8677777777777775,3.8999999999999995,3.19,3.595714285714286,1.5633333333333332
ENC_00016,EMP_02465,3.4933333333333336,1.7466666666666668,2.2166666666666663,2.485555555555555,1.4866666666666666,2.203333333333333,1.9333333333333333,1.8744444444444446,4.2075,3.543333333333333,3.9228571428571426,1.0
ENC_00017,EMP_01485,4.31,1.0,2.43,2.58,1.0666666666666667,1.0366666666666668,1.0,1.0344444444444445,4.1425,4.239999999999999,4.184285714285714,1.0
