empresa_id,nombre,ciudad,sector,tamano,cultura,escenario,burnout_base,boreout_base,wellbeing_base,rotation_base
SAL_000,saludable_Corp_0,Sevilla,Tecnología,Pequeña,Clan,saludable,1.8,1.7,4.3,1.5
SAL_001,saludable_Corp_1,Madrid,Salud,Mediana,Clan,saludable,1.8,1.7,4.3,1.5
SAL_002,saludable_Corp_2,Barcelona,Educación,Grande,Clan,saludable,1.8,1.7,4.3,1.5
SAL_003,saludable_Corp_3,Bilbao,Salud,Pequeña,Clan,saludable,1.8,1.7,4.3,1.5
SAL_004,saludable_Corp_4,Madrid,Educación,Grande,Mercado,saludable,1.8,1.7,4.3,1.5
SAL_005,saludable_Corp_5,Valencia,Educación,Pequeña,Clan,saludable,1.8,1.7,4.3,1.5
SAL_006,saludable_Corp_6,Barcelona,Salud,Mediana,Jerarquica,saludable,1.8,1.7,4.3,1.5
SAL_007,saludable_Corp_7,Valencia,Salud,Mediana,Mercado,saludable,1.8,1.7,4.3,1.5
SAL_008,saludable_Corp_8,Valencia,Retail,Grande,Adhocracia,saludable,1.8,1.7,4.3,1.5
SAL_009,saludable_Corp_9,Bilbao,Salud,Grande,Adhocracia,saludable,1.8,1.7,4.3,1.5
SAL_010,saludable_Corp_10,Madrid,Educación,Pequeña,Adhocracia,saludable,1.8,1.7,4.3,1.5
SAL_011,saludable_Corp_11,Valencia,Educación,Grande,Clan,saludable,1.8,1.7,4.3,1.5
SAL_012,saludable_Corp_12,Bilbao,Tecnología,Mediana,Adhocracia,saludable,1.8,1.7,4.3,1.5
SAL_013,saludable_Corp_13,Valencia,Educación,Grande,Jerarquica,saludable,1.8,1.7,4.3,1.5
SAL_014,saludable_Corp_14,Valencia,Retail,Pequeña,Clan,saludable,1.8,1.7,4.3,1.5
SAL_015,saludable_Corp_15,Barcelona,Retail,Mediana,Clan,saludable,1.8,1.7,4.3,1.5
SAL_016,saludable_Corp_16,Barcelona,Educación,Micro,Clan,saludable,1.8,1.7,4.3,1.5
SAL_017,saludable_Corp_17,Bilbao,Educación,Grande,Clan,saludable,1.8,1.7,4.3,1.5
