empresa_id,kpi_burnout,kpi_boreout,kpi_bienestar,kpi_rotacion,kpi_contexto,n_empleados,cultura_percibida
EST_000,2.2,2.13,3.65,3.15,1.46,48,Clan
EST_001,2.77,2.16,3.05,3.54,1.12,64,Jerarquica
EST_002,2.21,2.11,3.55,3.19,1.4,55,Clan
EST_003,2.65,2.16,3.22,3.58,1.19,42,Jerarquica
EST_004,2.81,2.33,2.97,3.7,1.13,48,Mercado
EST_005,2.86,2.13,2.95,3.54,1.09,53,Mercado
EST_006,2.9,1.93,2.92,3.64,1.09,32,Mercado
EST_007,2.93,1.97,3.18,3.51,1.14,47,Mercado
EST_008,2.46,2.21,3.47,3.25,1.33,56,Clan
EST_009,2.37,2.08,3.51,3.38,1.36,48,Adhocracia
EST_010,2.41,2.01,3.55,3.3,1.37,53,Clan
EST_011,2.71,2.2,3.17,3.45,1.17,49,Jerarquica
EST_012,2.38,2.22,3.51,3.27,1.34,41,Clan
EST_013,2.76,2.16,3.04,3.54,1.11,57,Mercado
EST_014,2.27,2.02,3.72,3.14,1.5,51,Clan
EST_015,2.72,2.38,3.13,3.57,1.17,52,Jerarquica
EST_016,2.25,2.22,3.64,3.26,1.44,52,Clan
EST_017,2.56,2.08,3.14,3.42,1.2,53,Jerarquica
EST_018,2.22,1.99,3.74,2.99,1.51,41,Clan
EST_019,2.75,2.29,3.13,3.52,1.17,51,Jerarquica
EST_020,2.81,2.23,2.83,3.67,1.09,52,Mercado
EST_021,2.51,2.17,3.44,3.38,1.32,44,Adhocracia
EST_022,2.86,2.2,3.07,3.74,1.11,47,Mercado
EST_023,2.54,2.01,3.51,3.44,1.35,38,Adhocracia
EST_024,2.18,2.11,3.56,3.19,1.43,48,Clan
EST_025,2.9,1.93,2.94,3.59,1.09,50,Mercado
EST_026,2.97,2.15,2.87,3.61,1.09,57,Mercado
EST_027,2.79,2.1,2.98,3.58,1.13,55,Mercado
EST_028,2.96,2.09,2.93,3.74,1.09,49,Mercado
EST_029,2.95,2.21,2.96,3.66,1.13,61,Mercado
EST_030,2.29,2.0,3.63,3.2,1.43,49,Clan
EST_031,2.8,2.05,2.93,3.59,1.14,66,Mercado
EST_032,2.79,2.25,3.27,3.65,1.17,49,Jerarquica
EST_033,2.8,2.37,3.28,3.61,1.18,44,Jerarquica
EST_034,2.33,2.03,3.67,3.26,1.47,52,Clan
EST_035,2.89,2.05,2.98,3.71,1.09,59,Mercado
EST_036,2.27,1.95,3.65,3.14,1.44,46,Clan
EST_037,3.0,2.17,2.97,3.6,1.1,44,Mercado
EST_038,2.72,2.24,3.11,3.56,1.15,57,Jerarquica
EST_039,3.06,2.13,3.12,3.61,1.09,47,Mercado
EST_040,2.57,2.26,3.3,3.51,1.2,71,Jerarquica
EST_041,2.4,2.09,3.64,3.28,1.39,60,Clan
EST_042,2.47,2.37,3.01,3.56,1.13,45,Jerarquica
EST_043,2.36,2.23,3.59,3.31,1.41,38,Clan
EST_044,2.33,2.03,3.54,3.27,1.38,49,Clan
EST_045,2.26,1.99,3.62,3.12,1.4,41,Clan
EST_046,2.41,2.04,3.6,3.38,1.41,44,Adhocracia
EST_047,2.82,2.31,3.3,3.6,1.18,45,Jerarquica
EST_048,2.91,2.09,2.89,3.67,1.12,50,Mercado
EST_049,2.97,2.14,3.03,3.79,1.08,50,Mercado
