Marca temporal,🎭 Mi alias es ,¿Cuál es tu situación laboral actual?  ,¿ Cuál es tu edad?,Sector de tu último/actual trabajo  ,  Modalidad de trabajo  ,  Me siento emocionalmente agotado/a por mi trabajo.  ,Trabajar todo el día es un verdadero esfuerzo. ,He desarrollado una actitud distante hacia mi trabajo. ,Me he vuelto menos entusiasta con mi trabajo. ,Mi trabajo me resulta monótono y repetitivo. ,Tengo la sensación de que mi trabajo carece de sentido. ,A menudo me aburro en el trabajo. ,Siento que estoy infrautilizado/a en mis funciones. ,Me he sentido alegre y de buen humor. ,Me he sentido tranquilo/a y relajado/a. ,Me he sentido activo/a y vigoroso/a. ,He tenido energía para hacer las cosas del día a día. ,Estoy buscando activamente otro empleo. ,Es probable que cambie de empresa el próximo año. ,A veces pienso en dejar mi trabajo. ,En mi organización se fomenta experimentar con nuevas ideas.  ,Se valora la creatividad y la innovación. ,Existe buena colaboración entre compañeros. ,Mi responsable se preocupa por las personas. ,Los objetivos son prioritarios en mi organización. ,Existe presión por conseguir resultados. ,Los procedimientos están claramente definidos. ,Hay normas y reglas estrictas que seguir en el día a día,¿Cuál es o fue tu jornada laboral? ,Sexo / Género,¿Cuál es o fue aproximadamente tu salario bruto anual en esa empresa? ,¿Cuántos años llevas o llevabas trabajando en la empresa? 
10/07/2026 13:02:01,Germán,Trabajo actualmente,42,Educación,Híbrido,2,2,1,1,1,1,1,1,4,4,4,4,4,4,3,5,4,4,4,3,2,2,4,Jornada completa,Hombre,Más de 45.000 €,Entre 6 meses y 1 año
14/07/2026 10:18:12,arcano,"No trabajo actualmente, pero he trabajado antes",43,Bancario,Híbrido,2,2,4,2,2,4,4,4,4,4,4,4,4,5,4,4,3,4,2,4,5,4,4,Jornada completa,Hombre,25.001 € – 35.000 €,Entre 5 y 10 años
14/07/2026 10:19:56,zyx_zyx_zyx,"No trabajo actualmente, pero he trabajado antes",41,Tecnología,Presencial,3,3,3,4,3,4,2,3,3,2,4,2,3,3,4,4,3,3,4,4,4,2,4,Jornada completa,Hombre,25.001 € – 35.000 €,Entre 1 y 3 años
14/07/2026 10:26:34,hhdata,Trabajo actualmente,40,Atención al público,Presencial,5,4,5,5,5,5,5,4,4,4,3,3,4,5,5,2,2,3,2,4,5,4,4,Jornada parcial (media jornada o similar),Hombre,15.000 € – 25.000 €,Entre 1 y 3 años
14/07/2026 10:37:54,gato21,"No trabajo actualmente, pero he trabajado antes",38,educación,Presencial,5,4,5,5,4,5,3,3,3,1,1,1,3,4,3,1,1,3,2,5,4,1,1,Jornada completa,Mujer,15.000 € – 25.000 €,Entre 5 y 10 años
14/07/2026 10:39:28,Phan,Trabajo actualmente,32,Restaurantes,Presencial,4,5,4,5,3,2,3,5,4,1,2,2,5,5,5,3,3,5,3,5,3,3,4,Jornada parcial (media jornada o similar),No binario,Menos de 15.000 €,Entre 6 meses y 1 año
14/07/2026 10:50:05,Wombat,Trabajo actualmente,37,IT,Remoto,4,4,4,4,4,2,2,2,2,2,2,2,4,5,5,4,4,3,4,2,3,1,2,Jornada parcial (media jornada o similar),Mujer,Menos de 15.000 €,Entre 6 meses y 1 año
14/07/2026 10:56:31,JC,"No trabajo actualmente, pero he trabajado antes",55,Proferorado,Presencial,2,4,2,3,2,1,3,4,4,4,4,4,5,5,1,2,1,5,4,2,2,3,2,Jornada parcial (media jornada o similar),Hombre,Menos de 15.000 €,Entre 5 y 10 años
14/07/2026 11:13:00,Queen,"No trabajo actualmente, pero he trabajado antes",42,Fintech,Presencial,5,5,3,5,3,4,3,4,2,1,2,3,5,5,5,2,2,3,2,1,5,1,2,Jornada completa,Mujer,25.001 € – 35.000 €,Entre 5 y 10 años
14/07/2026 11:20:15,mani_0098,"No trabajo actualmente, pero he trabajado antes",42,Ingenieria,Presencial,4,5,3,2,2,1,2,5,4,2,4,4,1,3,4,2,1,4,4,5,5,5,4,Jornada completa,Hombre,Menos de 15.000 €,Entre 5 y 10 años
14/07/2026 11:24:19,PS,"No trabajo actualmente, pero he trabajado antes",40,Eventos,Presencial,5,3,1,2,3,4,3,4,3,4,3,3,5,5,4,1,1,4,2,4,5,4,4,Jornada completa,Hombre,Más de 45.000 €,Más de 10 años
