empresa_id,nombre,ciudad,sector,cultura,escenario,burnout_base,boreout_base,wellbeing_base,rotation_base
RBO_000,riesgo_boreout_Corp_0,Valencia,Tecnología,Jerarquica,riesgo_boreout,1.5,4.3,2.3,3.8
RBO_001,riesgo_boreout_Corp_1,Valencia,Tecnología,Jerarquica,riesgo_boreout,1.5,4.3,2.3,3.8
RBO_002,riesgo_boreout_Corp_2,Sevilla,Tecnología,Mercado,riesgo_boreout,1.5,4.3,2.3,3.8
RBO_003,riesgo_boreout_Corp_3,Madrid,Tecnología,Jerarquica,riesgo_boreout,1.5,4.3,2.3,3.8
RBO_004,riesgo_boreout_Corp_4,Valencia,Tecnología,Adhocracia,riesgo_boreout,1.5,4.3,2.3,3.8
RBO_005,riesgo_boreout_Corp_5,Sevilla,Tecnología,Mercado,riesgo_boreout,1.5,4.3,2.3,3.8
RBO_006,riesgo_boreout_Corp_6,Barcelona,Tecnología,Jerarquica,riesgo_boreout,1.5,4.3,2.3,3.8
RBO_007,riesgo_boreout_Corp_7,Madrid,Tecnología,Adhocracia,riesgo_boreout,1.5,4.3,2.3,3.8
RBO_008,riesgo_boreout_Corp_8,Barcelona,Tecnología,Mercado,riesgo_boreout,1.5,4.3,2.3,3.8
RBO_009,riesgo_boreout_Corp_9,Barcelona,Tecnología,Adhocracia,riesgo_boreout,1.5,4.3,2.3,3.8
RBO_010,riesgo_boreout_Corp_10,Madrid,Tecnología,Clan,riesgo_boreout,1.5,4.3,2.3,3.8
RBO_011,riesgo_boreout_Corp_11,Madrid,Tecnología,Clan,riesgo_boreout,1.5,4.3,2.3,3.8
RBO_012,riesgo_boreout_Corp_12,Sevilla,Tecnología,Mercado,riesgo_boreout,1.5,4.3,2.3,3.8
RBO_013,riesgo_boreout_Corp_13,Bilbao,Tecnología,Jerarquica,riesgo_boreout,1.5,4.3,2.3,3.8
RBO_014,riesgo_boreout_Corp_14,Sevilla,Tecnología,Clan,riesgo_boreout,1.5,4.3,2.3,3.8
RBO_015,riesgo_boreout_Corp_15,Madrid,Tecnología,Clan,riesgo_boreout,1.5,4.3,2.3,3.8
RBO_016,riesgo_boreout_Corp_16,Sevilla,Tecnología,Mercado,riesgo_boreout,1.5,4.3,2.3,3.8
RBO_017,riesgo_boreout_Corp_17,Barcelona,Tecnología,Jerarquica,riesgo_boreout,1.5,4.3,2.3,3.8
RBO_018,riesgo_boreout_Corp_18,Sevilla,Tecnología,Jerarquica,riesgo_boreout,1.5,4.3,2.3,3.8
RBO_019,riesgo_boreout_Corp_19,Madrid,Tecnología,Adhocracia,riesgo_boreout,1.5,4.3,2.3,3.8
RBO_020,riesgo_boreout_Corp_20,Bilbao,Tecnología,Jerarquica,riesgo_boreout,1.5,4.3,2.3,3.8
RBO_021,riesgo_boreout_Corp_21,Sevilla,Tecnología,Clan,riesgo_boreout,1.5,4.3,2.3,3.8
