empresa_id,kpi_burnout,kpi_boreout,kpi_bienestar,kpi_rotacion,kpi_contexto,n_empleados,cultura_percibida
RIE_000,2.04,4.06,2.12,4.1,2.12,42,Mercado
RIE_001,1.83,4.18,2.13,4.08,2.17,53,Jerarquica
RIE_002,1.82,4.2,2.01,4.05,2.1,50,Jerarquica
RIE_003,1.56,4.06,2.69,3.78,2.54,56,Clan
RIE_004,1.48,3.88,2.59,3.65,2.53,40,Clan
RIE_005,1.94,3.87,1.95,4.08,2.12,36,Mercado
RIE_006,1.85,4.37,2.18,4.07,2.19,44,Jerarquica
RIE_007,1.56,4.18,2.45,3.86,2.39,59,Adhocracia
RIE_008,1.83,4.26,1.97,4.07,2.09,55,Jerarquica
RIE_009,2.02,4.1,1.98,4.12,2.06,53,Mercado
RIE_010,1.8,4.32,2.11,4.11,2.18,47,Jerarquica
RIE_011,1.57,3.97,2.49,3.77,2.46,59,Adhocracia
RIE_012,1.77,4.28,2.04,4.08,2.16,48,Jerarquica
RIE_013,1.65,4.06,2.37,3.92,2.32,49,Adhocracia
RIE_014,1.85,4.04,1.81,4.09,2.05,54,Mercado
RIE_015,1.84,4.27,2.1,4.11,2.17,47,Jerarquica
RIE_016,1.88,4.16,2.14,3.97,2.2,50,Jerarquica
RIE_017,1.86,4.11,2.18,4.08,2.21,48,Jerarquica
RIE_018,1.99,3.94,1.81,4.08,2.02,48,Mercado
RIE_019,1.79,4.15,2.04,3.98,2.19,59,Jerarquica
RIE_020,1.86,3.94,2.24,4.06,2.29,45,Jerarquica
RIE_021,1.86,4.15,2.25,4.08,2.27,51,Jerarquica
RIE_022,1.93,4.29,1.93,4.18,2.02,46,Mercado
RIE_023,1.74,4.32,2.13,4.02,2.2,57,Jerarquica
RIE_024,1.91,4.21,2.14,4.08,2.18,55,Jerarquica
RIE_025,1.49,4.03,2.6,3.66,2.53,63,Clan
RIE_026,1.76,4.27,2.14,4.16,2.18,46,Jerarquica
RIE_027,1.77,4.17,2.27,4.01,2.28,52,Jerarquica
RIE_028,1.66,3.91,2.46,3.82,2.47,56,Adhocracia
RIE_029,1.79,4.26,2.27,4.05,2.26,44,Jerarquica
RIE_030,1.56,4.15,2.55,3.86,2.46,46,Clan
RIE_031,2.04,4.08,1.98,4.07,2.11,56,Mercado
RIE_032,1.79,4.19,2.06,4.01,2.19,45,Jerarquica
RIE_033,1.82,4.22,2.1,3.97,2.16,48,Jerarquica
RIE_034,1.65,4.11,2.46,3.81,2.4,48,Adhocracia
RIE_035,1.82,4.28,2.09,4.14,2.16,55,Jerarquica
RIE_036,2.02,3.96,1.95,4.12,2.11,43,Mercado
RIE_037,1.57,4.08,2.64,3.79,2.53,55,Adhocracia
RIE_038,1.89,4.12,1.96,4.15,2.19,42,Jerarquica
RIE_039,1.74,4.21,2.18,3.99,2.21,52,Jerarquica
RIE_040,1.6,4.1,2.54,3.81,2.47,43,Adhocracia
RIE_041,1.49,4.07,2.52,3.73,2.47,53,Adhocracia
RIE_042,1.81,4.26,2.16,4.15,2.2,32,Jerarquica
RIE_043,1.94,4.05,1.85,4.18,2.0,43,Mercado
RIE_044,1.57,3.96,2.6,3.76,2.54,48,Adhocracia
RIE_045,2.05,4.0,1.97,4.17,2.09,64,Mercado
RIE_046,1.45,3.92,2.55,3.7,2.52,44,Adhocracia
RIE_047,1.82,4.14,2.23,4.01,2.23,58,Jerarquica
RIE_048,1.69,4.17,2.52,3.85,2.44,63,Adhocracia
RIE_049,1.61,4.12,2.47,3.83,2.41,50,Clan
