empresa_id,nombre,ciudad,sector,tamano,cultura,escenario,burnout_base,boreout_base,wellbeing_base,rotation_base
RIE_000,riesgo_burnout_Corp_0,Bilbao,Tech,Pequeña,Tradicional,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_001,riesgo_burnout_Corp_1,Madrid,E-commerce,Pequeña,Exigente,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_002,riesgo_burnout_Corp_2,Madrid,Tech,Grande,Tradicional,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_003,riesgo_burnout_Corp_3,Barcelona,Fintech,Pequeña,Exigente,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_004,riesgo_burnout_Corp_4,Barcelona,E-commerce,Micro,Exigente,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_005,riesgo_burnout_Corp_5,Madrid,E-commerce,Grande,Exigente,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_006,riesgo_burnout_Corp_6,Barcelona,Consultoría,Mediana,Exigente,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_007,riesgo_burnout_Corp_7,Madrid,Consultoría,Mediana,Colaborativa,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_008,riesgo_burnout_Corp_8,Barcelona,E-commerce,Grande,Exigente,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_009,riesgo_burnout_Corp_9,Bilbao,E-commerce,Pequeña,Exigente,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_010,riesgo_burnout_Corp_10,Barcelona,Tech,Mediana,Colaborativa,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_011,riesgo_burnout_Corp_11,Barcelona,Tech,Mediana,Exigente,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_012,riesgo_burnout_Corp_12,Bilbao,E-commerce,Micro,Exigente,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_013,riesgo_burnout_Corp_13,Madrid,Consultoría,Pequeña,Colaborativa,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_014,riesgo_burnout_Corp_14,Bilbao,Consultoría,Grande,Exigente,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_015,riesgo_burnout_Corp_15,Madrid,Tech,Grande,Exigente,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_016,riesgo_burnout_Corp_16,Barcelona,Fintech,Micro,Tradicional,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_017,riesgo_burnout_Corp_17,Madrid,Consultoría,Grande,Exigente,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_018,riesgo_burnout_Corp_18,Bilbao,Consultoría,Micro,Exigente,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_019,riesgo_burnout_Corp_19,Madrid,Tech,Pequeña,Tradicional,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_020,riesgo_burnout_Corp_20,Madrid,Fintech,Grande,Colaborativa,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_021,riesgo_burnout_Corp_21,Madrid,Consultoría,Mediana,Tradicional,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_022,riesgo_burnout_Corp_22,Barcelona,Tech,Mediana,Tradicional,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_023,riesgo_burnout_Corp_23,Bilbao,Tech,Grande,Innovadora,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_024,riesgo_burnout_Corp_24,Madrid,Tech,Grande,Tradicional,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_025,riesgo_burnout_Corp_25,Bilbao,Tech,Mediana,Exigente,riesgo_burnout,4.2,2.0,2.4,4.0
RIE_026,riesgo_burnout_Corp_26,Bilbao,E-commerce,Grande,Colaborativa,riesgo_burnout,4.2,2.0,2.4,4.0
