empresa_id,kpi_burnout,kpi_boreout,kpi_bienestar,kpi_rotacion,kpi_contexto,n_empleados,cultura_percibida
RIE_000,4.17,1.89,2.09,4.41,1.01,36,Jerarquica
RIE_001,3.9,1.62,2.56,3.88,1.03,59,Clan
RIE_002,4.33,1.73,1.85,4.38,1.0,64,Mercado
RIE_003,4.17,1.81,2.16,4.38,1.01,64,Jerarquica
RIE_004,4.3,1.69,2.05,4.33,1.0,48,Mercado
RIE_005,4.19,1.8,2.33,4.25,1.01,40,Jerarquica
RIE_006,4.29,1.65,1.92,4.35,1.0,53,Mercado
RIE_007,4.28,1.74,1.93,4.34,1.0,61,Jerarquica
RIE_008,4.34,1.69,2.05,4.34,1.0,60,Mercado
RIE_009,4.38,1.75,1.85,4.49,1.0,48,Mercado
RIE_010,4.33,1.83,2.12,4.3,1.0,56,Jerarquica
RIE_011,4.39,1.79,1.93,4.37,1.0,41,Mercado
RIE_012,4.27,1.8,2.1,4.32,1.01,56,Jerarquica
RIE_013,4.44,1.75,1.87,4.43,1.0,57,Mercado
RIE_014,4.15,2.0,2.04,4.33,1.0,43,Jerarquica
RIE_015,4.22,1.64,2.07,4.25,1.01,52,Mercado
RIE_016,4.06,1.73,2.1,4.21,1.02,46,Jerarquica
RIE_017,4.42,1.58,2.05,4.41,1.0,51,Mercado
RIE_018,4.34,1.6,2.04,4.39,1.01,51,Mercado
RIE_019,4.27,1.76,2.1,4.25,1.0,43,Jerarquica
RIE_020,4.19,1.91,2.26,4.27,1.0,55,Jerarquica
RIE_021,4.18,1.84,2.07,4.33,1.0,51,Jerarquica
RIE_022,4.4,1.75,1.97,4.37,1.0,58,Mercado
RIE_023,4.29,1.93,2.14,4.34,1.0,41,Jerarquica
RIE_024,4.23,1.85,2.18,4.32,1.02,54,Jerarquica
RIE_025,4.14,1.82,2.15,4.25,1.01,42,Jerarquica
RIE_026,3.94,1.68,2.54,3.96,1.02,42,Clan
RIE_027,4.41,1.55,1.95,4.37,1.0,48,Mercado
RIE_028,4.33,1.62,1.87,4.4,1.0,53,Mercado
RIE_029,4.38,1.84,1.88,4.46,1.0,59,Mercado
RIE_030,4.33,1.69,2.0,4.37,1.0,48,Mercado
RIE_031,4.1,1.77,2.28,4.23,1.0,63,Jerarquica
RIE_032,4.18,1.78,2.24,4.26,1.0,43,Jerarquica
RIE_033,4.45,1.58,1.93,4.36,1.01,35,Mercado
RIE_034,4.35,1.75,2.06,4.4,1.01,37,Mercado
RIE_035,4.24,1.95,2.24,4.3,1.01,58,Jerarquica
RIE_036,4.22,1.85,2.06,4.29,1.01,58,Jerarquica
RIE_037,4.36,1.64,2.11,4.36,1.01,45,Mercado
RIE_038,3.87,1.76,2.6,3.98,1.02,41,Clan
RIE_039,4.23,1.67,1.97,4.33,1.0,59,Mercado
RIE_040,4.39,1.82,1.93,4.45,1.0,47,Mercado
RIE_041,4.3,1.93,2.1,4.36,1.01,48,Jerarquica
RIE_042,4.39,1.7,1.95,4.39,1.0,55,Mercado
RIE_043,4.39,1.69,1.92,4.42,1.0,52,Mercado
RIE_044,3.75,1.72,2.59,3.97,1.01,41,Clan
RIE_045,4.32,1.76,1.85,4.52,1.01,49,Mercado
RIE_046,4.4,1.8,2.03,4.44,1.0,49,Mercado
RIE_047,4.17,1.52,2.01,4.18,1.0,40,Mercado
RIE_048,4.28,1.73,2.12,4.29,1.0,48,Jerarquica
RIE_049,4.38,1.73,1.91,4.5,1.01,52,Mercado
