empresa_id,kpi_burnout,kpi_boreout,kpi_bienestar,kpi_rotacion,kpi_contexto,n_empleados,cultura_percibida
SAL_000,1.62,1.77,4.29,2.7,2.01,48,Clan
SAL_001,1.68,1.5,4.34,2.52,2.12,55,Clan
SAL_002,1.77,1.52,4.35,2.71,2.08,48,Clan
SAL_003,1.82,1.64,4.19,2.65,1.96,47,Adhocracia
SAL_004,1.8,1.71,4.3,2.77,1.96,53,Adhocracia
SAL_005,1.68,1.81,4.25,2.73,1.92,50,Adhocracia
SAL_006,1.98,1.93,4.25,2.91,1.85,39,Adhocracia
SAL_007,1.62,1.63,4.36,2.67,2.04,56,Clan
SAL_008,1.81,1.59,4.37,2.77,2.09,46,Clan
SAL_009,1.76,1.69,4.28,2.69,1.97,48,Adhocracia
SAL_010,1.9,1.82,4.16,2.85,1.88,48,Adhocracia
SAL_011,1.82,1.65,4.25,2.62,1.99,55,Adhocracia
SAL_012,1.69,1.66,4.21,2.67,1.97,49,Clan
SAL_013,1.73,1.84,4.35,2.86,2.0,49,Clan
SAL_014,1.76,1.88,4.39,2.72,2.0,48,Adhocracia
SAL_015,2.37,1.67,3.85,3.18,1.64,44,Mercado
SAL_016,1.92,1.57,4.21,2.68,1.97,52,Adhocracia
SAL_017,2.19,1.79,3.92,2.99,1.7,49,Mercado
SAL_018,1.8,1.6,4.43,2.62,2.07,41,Clan
SAL_019,1.69,1.77,4.26,2.75,1.94,47,Adhocracia
SAL_020,1.75,1.72,4.24,2.78,1.95,52,Clan
SAL_021,1.63,1.48,4.41,2.6,2.13,50,Clan
SAL_022,1.68,1.68,4.34,2.55,2.04,54,Clan
SAL_023,1.59,1.66,4.37,2.77,2.07,44,Clan
SAL_024,1.82,1.63,4.32,2.66,2.01,61,Clan
SAL_025,1.97,1.65,4.3,2.8,1.98,64,Clan
SAL_026,1.7,1.67,4.28,2.76,2.02,34,Clan
SAL_027,1.95,1.74,4.12,2.88,1.84,50,Adhocracia
SAL_028,1.73,1.65,4.44,2.65,2.09,60,Clan
SAL_029,1.71,1.74,4.35,2.69,2.02,51,Adhocracia
SAL_030,2.16,1.95,4.01,2.96,1.73,41,Jerarquica
SAL_031,1.75,1.64,4.33,2.77,2.02,52,Clan
SAL_032,2.15,1.69,3.88,2.94,1.7,59,Mercado
SAL_033,1.78,1.73,4.38,2.64,2.04,55,Clan
SAL_034,2.23,2.06,3.81,3.19,1.57,63,Jerarquica
SAL_035,1.66,1.71,4.3,2.72,1.97,53,Clan
SAL_036,1.92,1.58,4.26,2.74,1.93,60,Adhocracia
SAL_037,1.83,1.66,4.22,2.78,1.97,47,Clan
SAL_038,1.71,1.6,4.33,2.65,2.03,48,Clan
SAL_039,2.13,1.72,4.13,2.81,1.77,47,Jerarquica
SAL_040,1.58,1.62,4.35,2.62,2.11,45,Clan
SAL_041,1.88,1.65,4.4,2.7,2.04,44,Adhocracia
SAL_042,1.73,1.67,4.46,2.62,2.12,37,Clan
SAL_043,2.03,2.01,3.93,2.99,1.65,47,Jerarquica
SAL_044,1.65,1.67,4.29,2.61,2.05,56,Clan
SAL_045,1.69,1.55,4.3,2.74,2.04,45,Adhocracia
SAL_046,2.4,1.73,3.76,3.18,1.57,60,Mercado
SAL_047,1.71,1.54,4.34,2.72,2.06,39,Clan
SAL_048,1.74,1.61,4.27,2.65,2.0,60,Clan
SAL_049,1.86,1.87,4.07,2.97,1.78,50,Jerarquica
