empresa_id,nombre,ciudad,sector,cultura,escenario,burnout_base,boreout_base,wellbeing_base,rotation_base
CRI_000,critico_Corp_0,Madrid,Tecnología,Mercado,critico,4.5,4.3,1.8,4.7
CRI_001,critico_Corp_1,Sevilla,Tecnología,Mercado,critico,4.5,4.3,1.8,4.7
CRI_002,critico_Corp_2,Bilbao,Tecnología,Clan,critico,4.5,4.3,1.8,4.7
CRI_003,critico_Corp_3,Valencia,Tecnología,Mercado,critico,4.5,4.3,1.8,4.7
CRI_004,critico_Corp_4,Bilbao,Tecnología,Mercado,critico,4.5,4.3,1.8,4.7
CRI_005,critico_Corp_5,Valencia,Tecnología,Mercado,critico,4.5,4.3,1.8,4.7
CRI_006,critico_Corp_6,Sevilla,Tecnología,Mercado,critico,4.5,4.3,1.8,4.7
CRI_007,critico_Corp_7,Valencia,Tecnología,Jerarquica,critico,4.5,4.3,1.8,4.7
CRI_008,critico_Corp_8,Madrid,Tecnología,Mercado,critico,4.5,4.3,1.8,4.7
CRI_009,critico_Corp_9,Valencia,Tecnología,Mercado,critico,4.5,4.3,1.8,4.7
CRI_010,critico_Corp_10,Bilbao,Tecnología,Mercado,critico,4.5,4.3,1.8,4.7
CRI_011,critico_Corp_11,Madrid,Tecnología,Mercado,critico,4.5,4.3,1.8,4.7
CRI_012,critico_Corp_12,Madrid,Tecnología,Adhocracia,critico,4.5,4.3,1.8,4.7
CRI_013,critico_Corp_13,Bilbao,Tecnología,Mercado,critico,4.5,4.3,1.8,4.7
CRI_014,critico_Corp_14,Valencia,Tecnología,Clan,critico,4.5,4.3,1.8,4.7
CRI_015,critico_Corp_15,Bilbao,Tecnología,Mercado,critico,4.5,4.3,1.8,4.7
CRI_016,critico_Corp_16,Bilbao,Tecnología,Jerarquica,critico,4.5,4.3,1.8,4.7
CRI_017,critico_Corp_17,Bilbao,Tecnología,Clan,critico,4.5,4.3,1.8,4.7
CRI_018,critico_Corp_18,Madrid,Tecnología,Adhocracia,critico,4.5,4.3,1.8,4.7
CRI_019,critico_Corp_19,Madrid,Tecnología,Mercado,critico,4.5,4.3,1.8,4.7
CRI_020,critico_Corp_20,Sevilla,Tecnología,Mercado,critico,4.5,4.3,1.8,4.7
CRI_021,critico_Corp_21,Madrid,Tecnología,Mercado,critico,4.5,4.3,1.8,4.7
CRI_022,critico_Corp_22,Bilbao,Tecnología,Adhocracia,critico,4.5,4.3,1.8,4.7
CRI_023,critico_Corp_23,Valencia,Tecnología,Adhocracia,critico,4.5,4.3,1.8,4.7
CRI_024,critico_Corp_24,Valencia,Tecnología,Jerarquica,critico,4.5,4.3,1.8,4.7
CRI_025,critico_Corp_25,Sevilla,Tecnología,Jerarquica,critico,4.5,4.3,1.8,4.7
CRI_026,critico_Corp_26,Madrid,Tecnología,Mercado,critico,4.5,4.3,1.8,4.7
CRI_027,critico_Corp_27,Madrid,Tecnología,Mercado,critico,4.5,4.3,1.8,4.7
CRI_028,critico_Corp_28,Sevilla,Tecnología,Mercado,critico,4.5,4.3,1.8,4.7
CRI_029,critico_Corp_29,Barcelona,Tecnología,Jerarquica,critico,4.5,4.3,1.8,4.7
CRI_030,critico_Corp_30,Sevilla,Tecnología,Mercado,critico,4.5,4.3,1.8,4.7
CRI_031,critico_Corp_31,Barcelona,Tecnología,Jerarquica,critico,4.5,4.3,1.8,4.7
CRI_032,critico_Corp_32,Madrid,Tecnología,Jerarquica,critico,4.5,4.3,1.8,4.7
CRI_033,critico_Corp_33,Madrid,Tecnología,Mercado,critico,4.5,4.3,1.8,4.7
CRI_034,critico_Corp_34,Sevilla,Tecnología,Mercado,critico,4.5,4.3,1.8,4.7
CRI_035,critico_Corp_35,Valencia,Tecnología,Mercado,critico,4.5,4.3,1.8,4.7
CRI_036,critico_Corp_36,Madrid,Tecnología,Mercado,critico,4.5,4.3,1.8,4.7
CRI_037,critico_Corp_37,Barcelona,Tecnología,Clan,critico,4.5,4.3,1.8,4.7
CRI_038,critico_Corp_38,Madrid,Tecnología,Mercado,critico,4.5,4.3,1.8,4.7
CRI_039,critico_Corp_39,Madrid,Tecnología,Mercado,critico,4.5,4.3,1.8,4.7
CRI_040,critico_Corp_40,Madrid,Tecnología,Mercado,critico,4.5,4.3,1.8,4.7
CRI_041,critico_Corp_41,Sevilla,Tecnología,Clan,critico,4.5,4.3,1.8,4.7
CRI_042,critico_Corp_42,Madrid,Tecnología,Jerarquica,critico,4.5,4.3,1.8,4.7
CRI_043,critico_Corp_43,Bilbao,Tecnología,Mercado,critico,4.5,4.3,1.8,4.7
CRI_044,critico_Corp_44,Madrid,Tecnología,Jerarquica,critico,4.5,4.3,1.8,4.7
CRI_045,critico_Corp_45,Bilbao,Tecnología,Jerarquica,critico,4.5,4.3,1.8,4.7
CRI_046,critico_Corp_46,Bilbao,Tecnología,Mercado,critico,4.5,4.3,1.8,4.7
CRI_047,critico_Corp_47,Barcelona,Tecnología,Mercado,critico,4.5,4.3,1.8,4.7
CRI_048,critico_Corp_48,Madrid,Tecnología,Jerarquica,critico,4.5,4.3,1.8,4.7
CRI_049,critico_Corp_49,Sevilla,Tecnología,Mercado,critico,4.5,4.3,1.8,4.7
