empresa_id,kpi_burnout,kpi_boreout,kpi_bienestar,kpi_rotacion,kpi_contexto,n_empleados
CRI_000,4.38,4.29,1.76,4.86,1.59,54
CRI_001,4.55,4.1,1.62,4.9,1.48,45
CRI_002,4.45,4.23,1.73,4.89,1.57,50
CRI_003,4.5,4.13,1.56,4.88,1.48,40
CRI_004,4.39,4.2,1.74,4.82,1.57,52
CRI_005,4.43,4.28,1.76,4.9,1.55,53
CRI_006,4.51,4.0,1.53,4.85,1.48,58
CRI_007,4.48,4.15,1.56,4.92,1.48,36
CRI_008,4.11,4.06,2.12,4.7,1.85,51
CRI_009,4.31,4.16,1.76,4.78,1.57,60
CRI_010,4.43,4.23,1.86,4.89,1.62,49
CRI_011,4.6,4.02,1.54,4.92,1.46,50
CRI_012,4.29,4.36,1.74,4.91,1.58,43
CRI_013,4.42,4.22,1.78,4.84,1.61,47
CRI_014,4.26,3.96,1.96,4.83,1.78,48
CRI_015,4.51,4.11,1.64,4.95,1.5,48
CRI_016,4.42,3.94,1.61,4.86,1.54,47
CRI_017,4.48,4.09,1.59,4.94,1.47,46
CRI_018,4.45,4.23,1.7,4.87,1.54,48
CRI_019,4.54,4.21,1.6,4.87,1.46,52
CRI_020,4.26,4.01,1.94,4.78,1.77,48
CRI_021,4.51,4.12,1.61,4.9,1.51,47
CRI_022,4.56,4.1,1.47,4.93,1.41,45
CRI_023,4.5,4.04,1.43,4.93,1.44,58
CRI_024,4.52,4.19,1.46,4.88,1.39,49
CRI_025,4.49,4.14,1.56,4.88,1.47,54
CRI_026,4.44,4.06,1.58,4.88,1.48,53
CRI_027,4.46,3.86,1.44,4.9,1.45,54
CRI_028,4.53,4.05,1.39,4.93,1.35,50
CRI_029,4.52,3.98,1.53,4.9,1.5,62
CRI_030,4.42,3.95,1.56,4.89,1.52,50
CRI_031,4.6,4.21,1.59,4.9,1.45,48
CRI_032,4.45,4.2,1.77,4.86,1.61,52
CRI_033,4.57,4.11,1.63,4.87,1.53,50
CRI_034,4.4,4.12,1.52,4.87,1.48,64
CRI_035,4.06,4.19,2.18,4.71,1.91,42
CRI_036,4.17,4.1,2.09,4.79,1.83,49
CRI_037,4.47,4.18,1.75,4.88,1.59,46
CRI_038,4.55,4.15,1.55,4.86,1.45,53
CRI_039,4.46,4.04,1.42,4.87,1.43,45
CRI_040,4.52,4.22,1.46,4.92,1.36,40
CRI_041,4.55,4.13,1.57,4.88,1.47,53
CRI_042,4.52,4.08,1.44,4.9,1.4,49
CRI_043,4.36,4.3,1.67,4.91,1.5,47
CRI_044,4.23,4.1,2.09,4.72,1.79,46
CRI_045,4.51,3.97,1.55,4.93,1.48,56
CRI_046,4.48,4.11,1.48,4.86,1.45,61
CRI_047,4.53,4.07,1.46,4.91,1.4,52
CRI_048,4.38,4.16,1.63,4.9,1.54,54
CRI_049,4.33,4.2,1.81,4.78,1.65,46
