empresa_id,nombre,ciudad,sector,tamano,cultura,escenario,burnout_base,boreout_base,wellbeing_base,rotation_base
EST_000,estable_Corp_0,Sevilla,Tecnología,Mediana,Adhocracia,estable,2.5,2.2,3.4,2.3
EST_001,estable_Corp_1,Madrid,Tecnología,Grande,Clan,estable,2.5,2.2,3.4,2.3
EST_002,estable_Corp_2,Barcelona,Tecnología,Grande,Clan,estable,2.5,2.2,3.4,2.3
EST_003,estable_Corp_3,Bilbao,Tecnología,Grande,Adhocracia,estable,2.5,2.2,3.4,2.3
EST_004,estable_Corp_4,Madrid,Tecnología,Mediana,Jerarquica,estable,2.5,2.2,3.4,2.3
EST_005,estable_Corp_5,Valencia,Tecnología,Pequeña,Adhocracia,estable,2.5,2.2,3.4,2.3
EST_006,estable_Corp_6,Barcelona,Tecnología,Pequeña,Jerarquica,estable,2.5,2.2,3.4,2.3
EST_007,estable_Corp_7,Valencia,Tecnología,Grande,Mercado,estable,2.5,2.2,3.4,2.3
EST_008,estable_Corp_8,Valencia,Tecnología,Mediana,Mercado,estable,2.5,2.2,3.4,2.3
EST_009,estable_Corp_9,Bilbao,Tecnología,Grande,Mercado,estable,2.5,2.2,3.4,2.3
EST_010,estable_Corp_10,Madrid,Tecnología,Mediana,Jerarquica,estable,2.5,2.2,3.4,2.3
EST_011,estable_Corp_11,Valencia,Tecnología,Mediana,Adhocracia,estable,2.5,2.2,3.4,2.3
EST_012,estable_Corp_12,Bilbao,Tecnología,Pequeña,Clan,estable,2.5,2.2,3.4,2.3
EST_013,estable_Corp_13,Valencia,Tecnología,Grande,Mercado,estable,2.5,2.2,3.4,2.3
EST_014,estable_Corp_14,Valencia,Tecnología,Pequeña,Clan,estable,2.5,2.2,3.4,2.3
EST_015,estable_Corp_15,Barcelona,Tecnología,Mediana,Clan,estable,2.5,2.2,3.4,2.3
EST_016,estable_Corp_16,Barcelona,Tecnología,Grande,Jerarquica,estable,2.5,2.2,3.4,2.3
EST_017,estable_Corp_17,Bilbao,Tecnología,Mediana,Adhocracia,estable,2.5,2.2,3.4,2.3
EST_018,estable_Corp_18,Valencia,Tecnología,Mediana,Clan,estable,2.5,2.2,3.4,2.3
EST_019,estable_Corp_19,Bilbao,Tecnología,Mediana,Adhocracia,estable,2.5,2.2,3.4,2.3
EST_020,estable_Corp_20,Valencia,Tecnología,Mediana,Clan,estable,2.5,2.2,3.4,2.3
EST_021,estable_Corp_21,Sevilla,Tecnología,Mediana,Mercado,estable,2.5,2.2,3.4,2.3
EST_022,estable_Corp_22,Sevilla,Tecnología,Pequeña,Jerarquica,estable,2.5,2.2,3.4,2.3
EST_023,estable_Corp_23,Madrid,Tecnología,Mediana,Mercado,estable,2.5,2.2,3.4,2.3
EST_024,estable_Corp_24,Sevilla,Tecnología,Mediana,Mercado,estable,2.5,2.2,3.4,2.3
EST_025,estable_Corp_25,Madrid,Tecnología,Mediana,Clan,estable,2.5,2.2,3.4,2.3
EST_026,estable_Corp_26,Sevilla,Tecnología,Mediana,Mercado,estable,2.5,2.2,3.4,2.3
EST_027,estable_Corp_27,Madrid,Tecnología,Pequeña,Jerarquica,estable,2.5,2.2,3.4,2.3
EST_028,estable_Corp_28,Bilbao,Tecnología,Pequeña,Mercado,estable,2.5,2.2,3.4,2.3
EST_029,estable_Corp_29,Sevilla,Tecnología,Mediana,Mercado,estable,2.5,2.2,3.4,2.3
EST_030,estable_Corp_30,Madrid,Tecnología,Pequeña,Mercado,estable,2.5,2.2,3.4,2.3
EST_031,estable_Corp_31,Barcelona,Tecnología,Mediana,Clan,estable,2.5,2.2,3.4,2.3
EST_032,estable_Corp_32,Bilbao,Tecnología,Pequeña,Jerarquica,estable,2.5,2.2,3.4,2.3
EST_033,estable_Corp_33,Madrid,Tecnología,Pequeña,Clan,estable,2.5,2.2,3.4,2.3
EST_034,estable_Corp_34,Sevilla,Tecnología,Mediana,Jerarquica,estable,2.5,2.2,3.4,2.3
EST_035,estable_Corp_35,Sevilla,Tecnología,Pequeña,Clan,estable,2.5,2.2,3.4,2.3
