empresa_id,kpi_burnout,kpi_boreout,kpi_bienestar,kpi_rotacion,kpi_contexto,n_empleados,cultura_percibida
EST_000,2.55,2.27,3.21,3.48,2.96,48,Jerarquica
EST_001,2.75,2.2,2.98,3.62,2.84,63,Mercado
EST_002,2.76,2.27,3.06,3.6,2.82,56,Mercado
EST_003,2.88,2.12,3.12,3.55,2.9,43,Mercado
EST_004,2.65,2.24,3.01,3.59,2.86,45,Jerarquica
EST_005,2.35,2.28,3.55,3.21,3.15,53,Adhocracia
EST_006,2.32,2.22,3.62,3.16,3.21,34,Adhocracia
EST_007,2.96,2.25,2.62,3.86,2.61,44,Mercado
EST_008,2.26,2.15,3.62,3.25,3.22,52,Clan
EST_009,2.89,1.95,3.11,3.57,2.87,47,Mercado
EST_010,2.68,2.38,3.09,3.44,2.86,50,Jerarquica
EST_011,2.59,2.26,3.15,3.46,2.91,49,Jerarquica
EST_012,2.47,2.07,3.37,3.31,3.04,42,Clan
EST_013,2.98,2.31,2.93,3.71,2.72,58,Mercado
EST_014,2.29,2.12,3.54,3.17,3.2,48,Clan
EST_015,2.27,2.03,3.65,3.14,3.24,46,Clan
EST_016,3.11,2.27,2.75,3.79,2.66,53,Mercado
EST_017,2.59,2.2,3.13,3.37,2.91,55,Jerarquica
EST_018,2.18,2.07,3.64,3.18,3.23,39,Clan
EST_019,2.66,2.41,3.14,3.61,2.87,50,Jerarquica
EST_020,2.25,2.06,3.66,3.16,3.25,49,Clan
EST_021,2.43,2.3,3.32,3.4,3.03,44,Jerarquica
EST_022,2.33,2.2,3.6,3.31,3.19,48,Clan
EST_023,2.69,2.44,3.36,3.61,2.97,43,Jerarquica
EST_024,2.89,2.29,3.3,3.52,2.92,49,Jerarquica
EST_025,2.72,2.27,3.18,3.61,2.9,49,Jerarquica
EST_026,2.59,2.34,3.14,3.52,2.89,58,Jerarquica
EST_027,2.2,2.19,3.6,3.14,3.22,54,Clan
EST_028,2.34,2.04,3.43,3.34,3.11,52,Adhocracia
EST_029,2.99,2.12,2.92,3.78,2.74,59,Mercado
EST_030,2.27,2.13,3.51,3.27,3.17,50,Clan
EST_031,2.81,2.34,3.1,3.59,2.82,69,Jerarquica
EST_032,2.36,2.0,3.8,3.16,3.31,51,Clan
EST_033,2.62,2.25,3.63,3.3,3.2,49,Adhocracia
EST_034,2.11,2.25,3.5,3.26,3.15,52,Clan
EST_035,2.27,2.05,3.58,3.25,3.18,60,Clan
EST_036,2.35,2.3,3.69,3.26,3.2,47,Clan
EST_037,2.61,2.3,3.15,3.48,2.93,44,Jerarquica
EST_038,2.36,1.99,3.69,3.26,3.23,57,Clan
EST_039,2.8,2.46,3.24,3.58,2.91,45,Jerarquica
EST_040,2.8,2.32,3.29,3.58,2.94,71,Jerarquica
EST_041,2.77,2.14,3.11,3.5,2.88,58,Jerarquica
EST_042,2.52,1.94,3.65,3.2,3.2,45,Adhocracia
EST_043,2.88,2.19,2.98,3.78,2.74,40,Mercado
EST_044,2.8,2.18,3.06,3.55,2.84,48,Jerarquica
EST_045,2.9,2.09,3.14,3.66,2.86,43,Mercado
EST_046,2.46,2.01,3.49,3.19,3.17,46,Adhocracia
EST_047,2.75,2.18,3.15,3.52,2.86,46,Jerarquica
EST_048,2.8,2.01,3.06,3.52,2.87,51,Mercado
EST_049,3.03,2.12,3.09,3.65,2.83,48,Mercado
