empresa_id,nombre,ciudad,sector,tamano,cultura,escenario,burnout_base,boreout_base,wellbeing_base,rotation_base
RIE_000,riesgo_boreout_Corp_0,Valencia,Tecnología,Micro,Mercado,riesgo_boreout,1.5,4.3,2.3,3.8
RIE_001,riesgo_boreout_Corp_1,Valencia,Finanzas,Grande,Jerarquica,riesgo_boreout,1.5,4.3,2.3,3.8
RIE_002,riesgo_boreout_Corp_2,Sevilla,Tecnología,Pequeña,Jerarquica,riesgo_boreout,1.5,4.3,2.3,3.8
RIE_003,riesgo_boreout_Corp_3,Madrid,Tecnología,Mediana,Clan,riesgo_boreout,1.5,4.3,2.3,3.8
RIE_004,riesgo_boreout_Corp_4,Valencia,Tecnología,Micro,Clan,riesgo_boreout,1.5,4.3,2.3,3.8
RIE_005,riesgo_boreout_Corp_5,Sevilla,Tecnología,Micro,Mercado,riesgo_boreout,1.5,4.3,2.3,3.8
RIE_006,riesgo_boreout_Corp_6,Barcelona,Educación,Mediana,Jerarquica,riesgo_boreout,1.5,4.3,2.3,3.8
RIE_007,riesgo_boreout_Corp_7,Madrid,Retail,Mediana,Adhocracia,riesgo_boreout,1.5,4.3,2.3,3.8
RIE_008,riesgo_boreout_Corp_8,Barcelona,Tecnología,Mediana,Jerarquica,riesgo_boreout,1.5,4.3,2.3,3.8
RIE_009,riesgo_boreout_Corp_9,Barcelona,Educación,Pequeña,Mercado,riesgo_boreout,1.5,4.3,2.3,3.8
RIE_010,riesgo_boreout_Corp_10,Madrid,Finanzas,Pequeña,Jerarquica,riesgo_boreout,1.5,4.3,2.3,3.8
RIE_011,riesgo_boreout_Corp_11,Madrid,Educación,Grande,Adhocracia,riesgo_boreout,1.5,4.3,2.3,3.8
RIE_012,riesgo_boreout_Corp_12,Sevilla,Retail,Mediana,Jerarquica,riesgo_boreout,1.5,4.3,2.3,3.8
RIE_013,riesgo_boreout_Corp_13,Bilbao,Finanzas,Pequeña,Adhocracia,riesgo_boreout,1.5,4.3,2.3,3.8
RIE_014,riesgo_boreout_Corp_14,Sevilla,Educación,Grande,Mercado,riesgo_boreout,1.5,4.3,2.3,3.8
RIE_015,riesgo_boreout_Corp_15,Madrid,Educación,Grande,Jerarquica,riesgo_boreout,1.5,4.3,2.3,3.8
RIE_016,riesgo_boreout_Corp_16,Sevilla,Salud,Mediana,Jerarquica,riesgo_boreout,1.5,4.3,2.3,3.8
RIE_017,riesgo_boreout_Corp_17,Barcelona,Retail,Mediana,Jerarquica,riesgo_boreout,1.5,4.3,2.3,3.8
RIE_018,riesgo_boreout_Corp_18,Sevilla,Finanzas,Pequeña,Mercado,riesgo_boreout,1.5,4.3,2.3,3.8
RIE_019,riesgo_boreout_Corp_19,Madrid,Finanzas,Mediana,Jerarquica,riesgo_boreout,1.5,4.3,2.3,3.8
RIE_020,riesgo_boreout_Corp_20,Bilbao,Finanzas,Mediana,Jerarquica,riesgo_boreout,1.5,4.3,2.3,3.8
RIE_021,riesgo_boreout_Corp_21,Sevilla,Educación,Pequeña,Jerarquica,riesgo_boreout,1.5,4.3,2.3,3.8
RIE_022,riesgo_boreout_Corp_22,Sevilla,Finanzas,Micro,Mercado,riesgo_boreout,1.5,4.3,2.3,3.8
RIE_023,riesgo_boreout_Corp_23,Barcelona,Retail,Grande,Jerarquica,riesgo_boreout,1.5,4.3,2.3,3.8
RIE_024,riesgo_boreout_Corp_24,Barcelona,Salud,Grande,Jerarquica,riesgo_boreout,1.5,4.3,2.3,3.8
RIE_025,riesgo_boreout_Corp_25,Sevilla,Salud,Pequeña,Clan,riesgo_boreout,1.5,4.3,2.3,3.8
RIE_026,riesgo_boreout_Corp_26,Bilbao,Finanzas,Grande,Jerarquica,riesgo_boreout,1.5,4.3,2.3,3.8
