empresa_id,kpi_burnout,kpi_boreout,kpi_bienestar,kpi_rotacion,kpi_contexto,n_empleados,cultura_percibida
RBO_000,1.65,4.27,2.12,3.95,2.2,41,Jerarquica
RBO_001,1.89,4.27,2.1,4.04,2.15,52,Jerarquica
RBO_002,1.86,4.24,2.01,4.08,2.1,53,Mercado
RBO_003,1.72,4.21,2.37,3.92,2.32,54,Jerarquica
RBO_004,1.54,4.1,2.58,3.88,2.5,42,Adhocracia
RBO_005,2.03,4.17,1.68,4.14,1.95,36,Mercado
RBO_006,1.72,4.2,2.37,4.03,2.29,45,Jerarquica
RBO_007,1.52,4.13,2.51,3.75,2.46,58,Adhocracia
RBO_008,1.94,4.13,1.97,4.04,2.1,55,Mercado
RBO_009,1.55,4.17,2.45,3.84,2.43,50,Adhocracia
RBO_010,1.46,4.04,2.63,3.61,2.55,45,Clan
RBO_011,1.62,4.24,2.43,3.88,2.39,57,Clan
RBO_012,2.03,4.03,2.05,4.06,2.12,48,Mercado
RBO_013,1.71,4.28,2.1,4.1,2.21,47,Jerarquica
RBO_014,1.43,3.95,2.53,3.72,2.51,55,Clan
RBO_015,1.52,4.11,2.56,3.72,2.49,47,Clan
RBO_016,2.07,4.14,1.92,4.02,2.1,48,Mercado
RBO_017,1.8,4.25,2.29,3.98,2.27,51,Jerarquica
RBO_018,1.57,4.21,2.09,3.98,2.19,51,Jerarquica
RBO_019,1.67,4.2,2.48,3.85,2.42,55,Adhocracia
RBO_020,1.88,4.27,2.04,4.08,2.16,44,Jerarquica
RBO_021,1.55,4.21,2.55,3.79,2.44,55,Clan
RBO_022,1.79,4.17,2.11,4.02,2.22,44,Jerarquica
RBO_023,1.87,4.35,2.26,4.02,2.23,55,Jerarquica
RBO_024,1.77,4.19,2.21,4.03,2.22,53,Jerarquica
RBO_025,1.9,4.29,1.99,4.14,2.11,60,Jerarquica
RBO_026,1.57,4.09,2.6,3.82,2.49,49,Clan
RBO_027,1.39,4.18,2.61,3.82,2.56,52,Clan
RBO_028,1.59,4.09,2.49,3.87,2.43,58,Adhocracia
RBO_029,1.56,3.89,2.42,3.81,2.45,44,Adhocracia
RBO_030,1.77,4.41,2.41,3.99,2.35,42,Jerarquica
RBO_031,1.72,4.03,2.1,3.93,2.25,61,Mercado
RBO_032,2.0,4.4,1.85,4.16,2.03,43,Mercado
RBO_033,1.57,4.24,2.59,3.84,2.52,46,Clan
RBO_034,1.82,4.31,2.19,4.14,2.21,48,Jerarquica
RBO_035,1.76,4.28,2.25,3.96,2.28,55,Jerarquica
RBO_036,1.99,4.17,2.04,4.1,2.13,46,Mercado
RBO_037,1.69,4.25,2.18,4.04,2.24,54,Jerarquica
RBO_038,1.61,4.22,2.58,3.92,2.42,41,Adhocracia
RBO_039,1.51,4.19,2.51,3.84,2.46,53,Clan
RBO_040,1.48,4.11,2.49,3.75,2.49,46,Adhocracia
RBO_041,1.89,4.3,2.13,4.1,2.16,55,Jerarquica
RBO_042,2.09,4.17,1.94,4.09,2.08,32,Mercado
RBO_043,1.78,4.24,2.17,3.93,2.24,44,Jerarquica
RBO_044,2.01,4.07,2.08,4.07,2.18,50,Mercado
RBO_045,1.82,4.24,2.04,4.01,2.16,62,Jerarquica
RBO_046,2.06,4.09,1.82,4.19,2.01,46,Mercado
RBO_047,1.81,4.25,2.2,3.98,2.23,59,Jerarquica
RBO_048,1.55,4.31,2.54,3.79,2.44,63,Clan
RBO_049,1.87,4.04,2.09,4.03,2.17,50,Mercado
