empresa_id,nombre,ciudad,sector,cultura,escenario,burnout_base,boreout_base,wellbeing_base,rotation_base
RBU_000,riesgo_burnout_Corp_0,Sevilla,Tecnología,Adhocracia,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_001,riesgo_burnout_Corp_1,Valencia,Tecnología,Mercado,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_002,riesgo_burnout_Corp_2,Barcelona,Tecnología,Jerarquica,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_003,riesgo_burnout_Corp_3,Valencia,Tecnología,Mercado,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_004,riesgo_burnout_Corp_4,Valencia,Tecnología,Jerarquica,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_005,riesgo_burnout_Corp_5,Madrid,Tecnología,Jerarquica,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_006,riesgo_burnout_Corp_6,Sevilla,Tecnología,Mercado,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_007,riesgo_burnout_Corp_7,Valencia,Tecnología,Clan,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_008,riesgo_burnout_Corp_8,Bilbao,Tecnología,Mercado,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_009,riesgo_burnout_Corp_9,Madrid,Tecnología,Mercado,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_010,riesgo_burnout_Corp_10,Barcelona,Tecnología,Mercado,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_011,riesgo_burnout_Corp_11,Valencia,Tecnología,Adhocracia,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_012,riesgo_burnout_Corp_12,Valencia,Tecnología,Adhocracia,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_013,riesgo_burnout_Corp_13,Valencia,Tecnología,Clan,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_014,riesgo_burnout_Corp_14,Sevilla,Tecnología,Mercado,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_015,riesgo_burnout_Corp_15,Barcelona,Tecnología,Mercado,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_016,riesgo_burnout_Corp_16,Barcelona,Tecnología,Mercado,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_017,riesgo_burnout_Corp_17,Madrid,Tecnología,Clan,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_018,riesgo_burnout_Corp_18,Sevilla,Tecnología,Adhocracia,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_019,riesgo_burnout_Corp_19,Valencia,Tecnología,Mercado,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_020,riesgo_burnout_Corp_20,Madrid,Tecnología,Mercado,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_021,riesgo_burnout_Corp_21,Bilbao,Tecnología,Mercado,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_022,riesgo_burnout_Corp_22,Sevilla,Tecnología,Mercado,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_023,riesgo_burnout_Corp_23,Barcelona,Tecnología,Mercado,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_024,riesgo_burnout_Corp_24,Bilbao,Tecnología,Mercado,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_025,riesgo_burnout_Corp_25,Madrid,Tecnología,Jerarquica,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_026,riesgo_burnout_Corp_26,Madrid,Tecnología,Jerarquica,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_027,riesgo_burnout_Corp_27,Bilbao,Tecnología,Mercado,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_028,riesgo_burnout_Corp_28,Bilbao,Tecnología,Mercado,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_029,riesgo_burnout_Corp_29,Bilbao,Tecnología,Mercado,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_030,riesgo_burnout_Corp_30,Madrid,Tecnología,Adhocracia,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_031,riesgo_burnout_Corp_31,Valencia,Tecnología,Mercado,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_032,riesgo_burnout_Corp_32,Sevilla,Tecnología,Mercado,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_033,riesgo_burnout_Corp_33,Madrid,Tecnología,Clan,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_034,riesgo_burnout_Corp_34,Valencia,Tecnología,Mercado,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_035,riesgo_burnout_Corp_35,Bilbao,Tecnología,Jerarquica,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_036,riesgo_burnout_Corp_36,Bilbao,Tecnología,Mercado,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_037,riesgo_burnout_Corp_37,Sevilla,Tecnología,Clan,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_038,riesgo_burnout_Corp_38,Barcelona,Tecnología,Clan,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_039,riesgo_burnout_Corp_39,Sevilla,Tecnología,Mercado,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_040,riesgo_burnout_Corp_40,Bilbao,Tecnología,Mercado,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_041,riesgo_burnout_Corp_41,Valencia,Tecnología,Mercado,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_042,riesgo_burnout_Corp_42,Bilbao,Tecnología,Mercado,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_043,riesgo_burnout_Corp_43,Barcelona,Tecnología,Jerarquica,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_044,riesgo_burnout_Corp_44,Madrid,Tecnología,Adhocracia,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_045,riesgo_burnout_Corp_45,Barcelona,Tecnología,Clan,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_046,riesgo_burnout_Corp_46,Madrid,Tecnología,Clan,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_047,riesgo_burnout_Corp_47,Barcelona,Tecnología,Mercado,riesgo_burnout,4.2,1.7,2.3,4.0
RBU_048,riesgo_burnout_Corp_48,Sevilla,Tecnología,Mercado,riesgo_burnout,4.2,1.7,2.3,4.0
