empresa_id,kpi_burnout,kpi_boreout,kpi_bienestar,kpi_rotacion,kpi_contexto,n_empleados,cultura_percibida
SAL_000,1.94,1.83,4.25,2.83,3.68,50,Adhocracia
SAL_001,1.73,1.59,4.33,2.66,3.8,56,Clan
SAL_002,1.62,1.52,4.3,2.69,3.82,52,Clan
SAL_003,2.0,1.81,4.05,2.83,3.53,44,Jerarquica
SAL_004,1.8,1.7,4.32,2.67,3.72,52,Adhocracia
SAL_005,1.74,1.67,4.39,2.62,3.77,53,Clan
SAL_006,1.79,1.64,4.3,2.77,3.72,38,Adhocracia
SAL_007,1.59,1.58,4.34,2.57,3.8,56,Clan
SAL_008,1.73,1.54,4.35,2.65,3.81,45,Clan
SAL_009,1.86,1.61,4.35,2.78,3.76,46,Adhocracia
SAL_010,1.85,1.81,4.29,2.78,3.72,49,Clan
SAL_011,1.79,1.77,4.31,2.78,3.7,55,Adhocracia
SAL_012,2.13,2.03,3.94,3.1,3.45,48,Jerarquica
SAL_013,1.61,1.62,4.35,2.52,3.78,49,Clan
SAL_014,1.83,1.59,4.26,2.62,3.73,49,Clan
SAL_015,2.19,1.63,3.92,2.91,3.47,43,Mercado
SAL_016,1.63,1.62,4.34,2.6,3.81,51,Clan
SAL_017,1.62,1.67,4.36,2.65,3.81,47,Clan
SAL_018,1.7,1.63,4.34,2.63,3.78,41,Clan
SAL_019,1.73,1.67,4.41,2.69,3.79,49,Clan
SAL_020,2.2,1.65,3.94,2.82,3.49,44,Mercado
SAL_021,1.99,1.75,3.93,2.92,3.51,50,Jerarquica
SAL_022,1.84,1.71,4.36,2.79,3.75,53,Clan
SAL_023,1.74,1.72,4.31,2.8,3.75,47,Clan
SAL_024,1.67,1.7,4.33,2.65,3.76,59,Clan
SAL_025,2.22,1.6,3.79,3.03,3.41,66,Mercado
SAL_026,1.62,1.92,4.3,2.74,3.74,35,Clan
SAL_027,1.83,1.8,4.39,2.76,3.75,52,Adhocracia
SAL_028,1.68,1.8,4.33,2.68,3.74,57,Adhocracia
SAL_029,1.82,1.67,4.24,2.64,3.69,53,Adhocracia
SAL_030,1.78,1.55,4.29,2.76,3.71,38,Adhocracia
SAL_031,1.7,1.62,4.26,2.62,3.72,57,Clan
SAL_032,1.72,1.74,4.3,2.62,3.76,63,Clan
SAL_033,1.73,1.71,4.24,2.75,3.71,52,Adhocracia
SAL_034,1.78,1.7,4.24,2.69,3.7,60,Adhocracia
SAL_035,1.83,1.68,4.26,2.74,3.72,53,Adhocracia
SAL_036,1.65,1.66,4.38,2.65,3.81,61,Clan
SAL_037,1.68,1.55,4.3,2.67,3.81,45,Clan
SAL_038,1.8,1.63,4.29,2.61,3.72,51,Clan
SAL_039,2.18,1.57,3.81,2.94,3.42,47,Mercado
SAL_040,1.5,1.7,4.39,2.48,3.85,44,Clan
SAL_041,2.19,1.68,3.89,3.05,3.45,45,Mercado
SAL_042,1.84,2.01,4.16,2.8,3.59,37,Jerarquica
SAL_043,1.66,1.71,4.4,2.58,3.82,51,Clan
SAL_044,1.72,1.64,4.29,2.67,3.72,55,Adhocracia
SAL_045,1.66,1.73,4.35,2.71,3.79,42,Clan
SAL_046,1.74,1.73,4.37,2.67,3.78,61,Clan
SAL_047,1.69,1.76,4.4,2.58,3.79,38,Clan
SAL_048,1.87,1.67,4.23,2.78,3.69,64,Clan
SAL_049,1.87,1.7,4.35,2.71,3.76,47,Adhocracia
