empresa_id,departamento,rol,seniority,perfil,edad,experiencia,antiguedad,horas_semana,salario,presion,autonomia,apoyo_manager,apoyo_social,equilibrio,satisfaccion,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q46,burnout,boreout,rotacion
18,RRHH,HR Specialist,Senior,Burnout,40,16.8995310216721,4.0308661449008145,38.947721667489645,45-60k,5.147380049306301,2.349903893708977,2.2934222661532235,3.504317945021943,3.7355478502414754,2.213096973809062,4.82,5.0,1.21,2.71,1.35,2.46,2.75,4.23,2.38,1.0,2.77,3.89,2.99,1.885,3.89
22,Finanzas,Financial Analyst,Mid,Healthy,33,10.790508903391137,1.7994922997881766,39.89487964209328,30-45k,3.145517000631091,2.7822201298626803,3.4029467681614873,3.179810717694508,3.496683282607924,3.3913791221297607,3.07,3.88,1.06,1.98,2.79,2.64,1.69,3.08,1.86,1.3,1.88,1.88,2.4500000000000006,1.5899999999999999,1.88
15,Data,Data Scientist,Junior,Engaged,23,1.1928329580605168,1.1928329580605168,36.093944421566995,<30k,4.076064698709094,3.549729291117393,3.8817830650071024,2.955967598852042,3.785625552456183,4.18996535833411,4.53,4.64,1.42,1.0,2.0,1.96,1.0,3.36,2.05,1.08,1.0,1.9,2.44,1.04,1.9
12,Ventas,Account Manager,Junior,Healthy,24,1.8377620916826254,1.8377620916826254,40.0,<30k,2.982086980445024,4.682321827907003,3.9931415026251345,3.552228240942903,3.3205955897204795,2.752101958364102,3.01,2.96,1.6,1.13,1.97,1.0,1.96,1.74,1.0,2.13,2.06,2.65,1.8188888888888886,2.0949999999999998,2.65
5,Marketing,Marketing Specialist,Junior,Burnout,27,4.311838917377362,4.311838917377362,37.344749633443996,<30k,4.255360778300668,2.3450891208781965,2.6903660160601945,3.288556328779158,3.576207343623079,2.6226689307942053,3.82,5.0,1.37,1.99,1.43,2.49,2.18,2.88,3.1,1.0,2.37,3.23,2.695555555555556,1.685,3.23
42,RRHH,HR Specialist,Junior,Healthy,24,0.0,0.0,36.01482764119362,<30k,3.0511738412748333,2.8836953597259933,3.5023623826588417,4.086652459660116,3.3445828131566655,3.5363270790254084,2.85,3.57,1.77,1.5,1.18,1.71,1.19,2.95,1.84,2.43,1.96,2.43,2.062222222222222,2.1950000000000003,2.43
45,Ventas,Account Manager,Senior,Burnout,44,23.024847464743207,4.086977382484872,38.0561989266964,45-60k,4.121165174664679,3.3738036828504034,2.841948620853686,3.0906190616478364,4.032506968649761,2.6020426242841292,4.33,4.26,1.0,2.11,2.13,2.06,2.42,3.53,1.93,1.0,1.89,2.56,2.641111111111111,1.4449999999999998,2.56
43,RRHH,HR Specialist,Mid,Burnout,35,14.482481270090435,0.4210591570500619,38.23795698379197,30-45k,5.400194243104842,2.5914525173555556,2.992031385881122,4.289691633728823,3.783024374916187,1.8790219280997913,5.0,5.0,1.52,2.63,1.0,2.35,3.07,3.53,2.46,1.0,2.66,3.8,2.9511111111111115,1.83,3.8
47,Administración,Administrative Assistant,Mid,Boreout,34,13.926752258488644,3.8255618538729967,39.64412031998898,30-45k,3.538075789592368,2.3527671303982776,2.966291342224686,3.010513829020737,3.4537389743515376,1.9477583013855062,3.66,4.25,1.84,2.04,2.5,2.55,4.0,3.4,2.35,1.09,3.22,3.12,2.9544444444444444,2.1550000000000002,3.12
49,Finanzas,Financial Analyst,Junior,Boreout,22,1.428000988184184,1.428000988184184,38.68318161189743,<30k,3.271331727337995,3.727922053282905,3.1418616010623484,3.8332776001138384,2.450558339497032,1.830288572892685,2.8,3.72,2.15,2.34,1.0,1.0,3.48,2.31,1.42,1.47,2.54,3.36,2.2466666666666666,2.005,3.36
